student_id,age,gender,city,state,university,course,branch,year_of_study,attendance_percentage,cgpa,study_hours_per_day,revision_frequency,online_courses,group_study,sleep_hours,screen_time_hours,physical_activity,part_time_job,exam_stress_level,motivation_level,parental_support,performance_category
359,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,1,74.9,7.3,2.2,Rare,Yes,No,6.1,7.1,Medium,No,8,5,Medium,Average
360,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,72.2,10.0,3.5,Weekly,No,Yes,6.1,4.1,Low,No,4,7,High,Excellent
361,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,3,56.8,9.6,2.6,Daily,Yes,No,7.5,1.0,Medium,No,5,5,Medium,Excellent
362,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,4,81.8,10.0,3.7,Rare,No,No,4.9,7.5,High,No,6,7,Medium,Excellent
363,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,3,95.2,8.9,3.1,Rare,Yes,Yes,7.3,5.9,Medium,No,5,5,Medium,Excellent
364,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,4,85.5,8.1,2.9,Rare,No,No,5.9,5.1,Medium,No,8,5,Low,Good
365,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,85.6,9.9,4.5,Daily,No,Yes,8.8,5.6,Medium,No,7,6,Low,Excellent
366,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,2,85.5,9.4,3.2,Daily,No,Yes,6.9,6.2,Medium,No,6,6,Medium,Excellent
367,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,87.9,10.0,4.8,Weekly,No,Yes,6.5,4.2,Medium,No,7,8,High,Excellent
368,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,75.7,8.4,1.0,Daily,No,Yes,6.6,8.0,Medium,No,5,7,Medium,Good
369,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,2,66.5,10.0,3.6,Daily,Yes,Yes,4.0,5.6,Medium,No,2,8,Low,Excellent
370,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,3,93.2,8.5,2.1,Weekly,No,Yes,8.7,7.9,Medium,No,5,8,Low,Excellent
371,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,1,71.9,8.3,2.7,Weekly,No,No,5.9,8.4,Medium,No,5,7,Low,Good
372,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,2,80.7,8.3,0.6,Weekly,Yes,No,6.9,3.3,Medium,No,9,8,Medium,Good
373,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,3,69.5,8.9,4.3,Daily,No,Yes,7.2,6.5,Medium,Yes,8,7,Low,Excellent
374,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,68.4,9.1,3.3,Daily,Yes,No,7.1,3.7,Medium,Yes,10,9,Low,Excellent
375,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,75.9,9.7,2.1,Daily,Yes,No,7.1,6.5,High,No,3,7,Low,Excellent
376,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,69.4,8.6,2.9,Weekly,Yes,No,8.9,7.1,Low,No,3,7,High,Excellent
377,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,73.3,9.9,3.4,Daily,No,No,8.3,3.4,Low,Yes,3,5,Low,Excellent
378,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,2,49.7,8.1,2.8,Weekly,No,No,7.6,8.4,Low,No,5,5,Medium,Good
379,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,74.1,7.9,3.8,Daily,Yes,No,7.4,5.0,Medium,No,6,1,Low,Good
380,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,4,68.2,8.1,3.6,Weekly,No,Yes,7.4,5.3,Low,No,6,4,Medium,Good
381,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,2,79.6,9.4,2.6,Rare,No,Yes,7.2,7.4,Medium,No,1,8,Low,Excellent
382,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,90.0,9.3,1.4,Rare,No,Yes,6.3,5.4,High,No,4,9,Medium,Excellent
383,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,80.0,8.3,1.7,Daily,No,Yes,6.6,6.6,Medium,Yes,5,6,Medium,Good
384,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,81.2,9.6,6.1,Daily,Yes,No,7.0,6.5,Medium,Yes,7,3,Medium,Excellent
385,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,2,94.3,8.4,2.4,Weekly,Yes,No,8.8,7.6,Medium,No,7,6,Medium,Good
386,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,79.4,8.3,0.5,Rare,Yes,Yes,5.9,5.6,High,No,6,6,Medium,Good
387,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,3,79.4,8.3,0.8,Weekly,No,No,7.8,5.8,High,No,6,4,Medium,Good
388,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,1,83.8,9.8,3.3,Rare,Yes,Yes,7.6,4.6,High,Yes,7,9,Low,Excellent
389,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,1,81.6,9.1,1.6,Weekly,Yes,Yes,7.6,6.9,Medium,No,2,4,High,Excellent
390,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,65.9,9.9,4.1,Rare,No,Yes,7.3,5.6,Medium,No,4,8,Medium,Excellent
391,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,71.9,9.1,4.2,Daily,Yes,Yes,6.6,5.7,Medium,No,7,2,High,Excellent
392,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,73.9,8.7,3.4,Weekly,Yes,Yes,7.0,2.5,Low,Yes,8,6,Medium,Excellent
393,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,67.8,9.3,4.2,Weekly,Yes,Yes,6.7,7.7,Medium,No,1,6,Medium,Excellent
394,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,82.7,9.8,2.4,Weekly,No,No,6.3,5.8,Medium,No,4,8,High,Excellent
395,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,74.3,9.8,1.9,Daily,No,No,5.4,3.5,High,No,6,9,Low,Excellent
396,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,2,82.6,9.4,2.8,Weekly,No,Yes,6.3,3.7,Low,Yes,2,5,Medium,Excellent
397,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,4,73.8,7.6,2.1,Weekly,No,No,7.6,3.4,Medium,No,7,4,Medium,Good
398,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,73.0,8.4,5.0,Weekly,Yes,Yes,7.5,8.0,Low,No,7,4,Low,Good
399,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,91.3,7.5,1.7,Weekly,No,Yes,7.9,7.8,Medium,Yes,9,5,Medium,Good
400,23,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,71.8,8.2,1.2,Weekly,Yes,No,5.1,7.4,Medium,Yes,2,5,High,Good
401,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,82.3,10.0,3.8,Daily,Yes,Yes,8.3,4.1,High,No,4,4,Medium,Excellent
402,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,2,82.5,9.6,5.3,Weekly,Yes,Yes,5.8,9.3,Medium,Yes,9,7,High,Excellent
403,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,72.8,10.0,2.4,Daily,Yes,No,7.7,3.9,High,Yes,7,9,High,Excellent
404,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,1,68.1,7.4,2.2,Daily,Yes,Yes,8.2,7.6,High,Yes,5,5,Medium,Average
405,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,1,97.1,10.0,1.6,Daily,Yes,No,7.2,8.0,Low,No,3,6,Medium,Excellent
406,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,100.0,8.8,1.0,Weekly,No,Yes,8.1,5.7,High,No,7,7,Medium,Excellent
407,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,59.4,9.0,4.4,Daily,No,No,7.3,7.3,High,No,8,7,Medium,Excellent
408,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,2,70.9,9.3,5.3,Weekly,No,Yes,8.4,5.5,High,Yes,6,4,Low,Excellent
409,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,4,97.4,8.4,2.2,Weekly,Yes,No,6.6,6.5,Low,Yes,7,6,Low,Good
410,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,85.2,8.5,2.1,Weekly,Yes,No,8.4,8.3,Low,No,6,6,Medium,Excellent
411,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,2,78.3,7.4,0.5,Weekly,Yes,Yes,7.9,2.9,Medium,No,9,5,Medium,Average
412,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,3,75.1,8.3,5.6,Daily,No,No,4.5,8.6,Medium,No,6,4,Medium,Good
413,22,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,68.5,8.2,1.8,Weekly,No,No,8.1,6.7,Low,No,4,6,Medium,Good
414,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,1,88.6,8.8,4.3,Weekly,Yes,Yes,7.4,9.5,Medium,No,5,4,Low,Excellent
415,23,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,67.9,10.0,3.0,Rare,No,Yes,7.4,5.9,High,No,4,8,Medium,Excellent
416,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,69.0,7.6,1.2,Daily,Yes,Yes,7.3,8.2,Medium,No,6,6,Medium,Good
417,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,86.3,9.5,4.9,Daily,No,Yes,5.5,9.2,Low,No,7,9,Medium,Excellent
418,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,3,76.5,8.8,4.3,Weekly,Yes,No,8.8,7.4,Low,No,5,4,Low,Excellent
419,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,2,94.3,8.4,3.1,Rare,No,Yes,8.6,7.4,Low,No,5,5,Low,Good
420,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,78.8,9.8,2.6,Weekly,Yes,No,6.8,6.2,Medium,No,1,7,High,Excellent
421,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,4,61.1,6.5,0.8,Weekly,No,No,5.6,4.6,Medium,Yes,9,5,Low,Average
422,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,79.3,7.1,3.4,Daily,Yes,No,5.8,8.9,Medium,No,9,3,Medium,Average
423,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,68.4,8.3,4.3,Daily,No,No,6.3,10.3,Low,Yes,8,6,Medium,Good
424,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,3,72.4,7.0,2.3,Weekly,No,No,7.1,7.7,Medium,No,6,3,Medium,Average
425,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,77.2,9.8,6.5,Rare,No,No,5.6,7.0,High,Yes,8,10,Medium,Excellent
426,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,83.7,10.0,3.8,Daily,No,No,6.9,6.9,Medium,No,1,7,Medium,Excellent
427,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,98.5,9.3,2.5,Daily,Yes,No,6.6,10.0,Low,No,4,5,Medium,Excellent
428,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,80.1,9.5,1.6,Daily,Yes,Yes,6.5,4.8,Low,No,5,7,Medium,Excellent
429,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,88.6,10.0,3.9,Daily,Yes,Yes,8.4,6.9,High,No,8,7,Medium,Excellent
430,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,77.0,10.0,6.9,Daily,No,No,7.9,7.1,Medium,No,3,3,Medium,Excellent
431,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,71.9,8.5,3.7,Weekly,No,No,8.6,7.4,High,Yes,3,6,Low,Excellent
432,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,1,73.9,8.9,2.8,Daily,Yes,Yes,5.7,5.7,Medium,No,4,1,Low,Excellent
433,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,1,74.2,8.2,3.5,Daily,No,No,5.8,9.4,Medium,Yes,9,6,Medium,Good
434,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,64.6,9.3,2.9,Weekly,No,No,7.1,5.1,High,No,5,6,High,Excellent
435,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,67.4,9.9,2.4,Weekly,No,No,5.7,8.0,Medium,No,1,8,Low,Excellent
436,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,3,52.0,10.0,3.0,Daily,Yes,Yes,6.9,4.0,High,No,4,9,Low,Excellent
437,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,1,62.0,9.2,3.0,Weekly,No,No,6.8,7.0,Medium,Yes,4,7,Medium,Excellent
438,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,3,77.5,8.4,3.2,Rare,No,No,6.6,8.4,Medium,Yes,4,6,Medium,Good
439,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,3,64.3,9.0,4.0,Weekly,No,No,6.9,7.0,Medium,No,4,8,Medium,Excellent
440,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,2,60.5,9.1,4.2,Daily,No,No,7.5,4.4,Medium,Yes,6,9,Low,Excellent
441,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,1,53.1,9.6,2.1,Daily,No,Yes,8.6,4.8,Medium,No,3,6,Low,Excellent
442,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,67.5,10.0,5.7,Daily,No,No,8.9,5.8,High,No,3,10,Medium,Excellent
443,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,1,69.9,9.0,3.4,Daily,No,Yes,6.8,6.7,High,Yes,8,8,High,Excellent
444,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,2,81.1,8.3,4.5,Rare,Yes,Yes,8.5,3.8,Medium,Yes,5,5,Low,Good
445,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,100.0,7.8,0.7,Rare,No,Yes,7.0,7.3,Low,No,6,6,High,Good
446,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,70.4,8.1,0.5,Daily,Yes,Yes,8.2,7.9,Low,No,6,6,Medium,Good
447,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,1,87.0,9.1,3.1,Daily,Yes,No,8.3,6.6,Low,No,6,3,High,Excellent
448,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,1,71.6,8.1,2.3,Daily,Yes,Yes,5.9,10.2,Low,No,8,10,Medium,Good
449,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,65.1,8.7,2.5,Weekly,No,No,6.1,8.5,Low,No,5,8,Medium,Excellent
450,23,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,1,63.2,8.8,5.4,Weekly,No,No,8.1,4.1,Low,Yes,8,7,Medium,Excellent
451,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,2,70.8,10.0,6.6,Daily,No,No,7.0,7.6,Medium,No,4,4,High,Excellent
452,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,73.8,9.8,3.6,Daily,Yes,No,7.1,5.6,Medium,No,6,7,Medium,Excellent
453,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,4,75.2,9.2,5.3,Daily,No,No,7.9,3.3,Medium,No,6,2,Low,Excellent
454,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,2,68.5,9.1,2.2,Daily,Yes,No,7.8,2.9,Low,Yes,4,7,Medium,Excellent
455,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,3,85.4,10.0,4.1,Daily,Yes,Yes,7.3,5.3,Low,No,6,6,Medium,Excellent
456,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,4,76.2,9.9,2.0,Daily,No,No,7.0,4.4,Low,No,3,7,Medium,Excellent
457,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,73.7,9.8,4.1,Daily,Yes,Yes,7.6,6.9,Medium,No,4,6,Low,Excellent
458,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,57.1,8.9,3.7,Weekly,Yes,No,9.0,5.3,Medium,No,4,7,Medium,Excellent
459,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,4,65.4,10.0,4.6,Weekly,No,No,7.6,5.7,Medium,No,6,8,High,Excellent
460,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,4,86.2,10.0,3.4,Daily,Yes,Yes,7.1,6.1,Medium,No,5,8,Medium,Excellent
461,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,4,74.1,10.0,3.8,Daily,Yes,No,8.2,7.2,Medium,No,4,10,High,Excellent
462,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,2,76.5,8.8,4.3,Daily,No,Yes,7.8,8.4,Medium,Yes,8,8,Low,Excellent
463,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,81.3,7.5,4.9,Rare,Yes,No,6.8,8.1,Low,No,8,4,Low,Good
464,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,81.1,6.9,2.7,Rare,Yes,No,8.4,6.8,High,Yes,6,3,Medium,Average
465,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,3,56.7,7.7,5.0,Weekly,Yes,Yes,6.8,12.0,High,No,10,6,High,Good
466,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,95.0,9.3,1.0,Daily,Yes,No,5.2,4.8,Low,No,7,7,Low,Excellent
467,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,4,54.8,10.0,4.8,Weekly,Yes,Yes,6.2,2.0,High,No,6,8,Low,Excellent
468,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,1,76.4,9.3,2.9,Daily,No,No,5.7,4.6,Low,No,7,7,Low,Excellent
469,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,76.2,8.2,0.5,Daily,Yes,Yes,7.2,8.9,High,Yes,3,5,Medium,Good
470,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,73.5,7.5,2.5,Weekly,No,Yes,5.0,6.2,Medium,No,10,7,Low,Good
471,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,4,77.9,8.4,2.3,Weekly,Yes,Yes,7.8,6.5,Low,No,6,4,Medium,Good
472,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,2,72.5,9.3,5.0,Rare,No,Yes,6.5,4.4,High,No,4,2,Medium,Excellent
473,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,65.7,7.4,0.5,Daily,No,No,6.9,5.7,High,No,5,4,Medium,Average
474,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,72.5,8.6,4.0,Daily,Yes,No,6.1,6.4,Medium,Yes,8,7,Low,Excellent
475,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,3,75.6,8.3,3.5,Daily,No,Yes,6.7,5.7,Medium,No,6,4,Medium,Good
476,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,1,62.0,7.0,1.7,Weekly,No,Yes,7.2,4.2,High,Yes,7,6,Medium,Average
477,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,86.1,8.1,2.0,Daily,No,Yes,7.4,4.3,High,No,6,3,Medium,Good
478,19,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ECE,4,76.8,8.1,2.9,Rare,Yes,No,5.8,5.2,Medium,Yes,6,6,Medium,Good
479,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,ME,2,89.7,8.0,1.7,Weekly,No,No,7.5,8.4,Medium,No,6,6,Medium,Good
480,21,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,2,63.8,7.9,2.0,Daily,Yes,No,6.6,8.5,High,No,6,4,Low,Good
481,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,3,70.9,9.1,5.0,Weekly,Yes,Yes,5.6,9.2,High,No,7,8,Medium,Excellent
482,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,4,63.7,8.1,2.7,Weekly,No,Yes,7.5,8.6,Low,No,3,5,Low,Good
483,17,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,2,83.9,9.5,2.4,Daily,Yes,No,6.8,5.1,High,Yes,4,6,Low,Excellent
484,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,3,70.7,7.7,4.0,Daily,No,Yes,8.7,6.3,Low,Yes,7,3,Medium,Good
485,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,4,63.2,7.3,2.4,Weekly,Yes,Yes,8.2,7.9,High,Yes,6,3,High,Average
486,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,3,79.8,6.7,0.7,Rare,No,No,6.1,5.9,Medium,No,7,2,High,Average
487,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,86.5,10.0,4.5,Weekly,Yes,Yes,7.6,4.4,Medium,No,2,5,Medium,Excellent
488,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,85.1,10.0,4.1,Daily,No,No,7.4,4.9,Medium,No,5,9,Medium,Excellent
489,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,74.8,9.1,5.5,Weekly,Yes,Yes,5.6,7.2,Medium,Yes,4,3,High,Excellent
490,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,69.6,8.5,1.3,Daily,No,Yes,6.9,5.8,Low,No,7,8,Medium,Excellent
491,22,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,80.2,9.8,3.0,Weekly,No,Yes,5.4,5.5,Medium,No,5,8,High,Excellent
492,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,2,79.7,9.4,4.5,Daily,Yes,No,8.5,7.8,Medium,No,7,6,Low,Excellent
493,21,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,1,64.7,7.0,3.0,Daily,No,No,6.2,6.8,Low,No,8,5,Low,Average
494,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,3,87.1,10.0,4.3,Weekly,No,Yes,7.4,5.4,Medium,No,3,7,Low,Excellent
495,23,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,83.7,9.5,2.6,Weekly,Yes,Yes,6.4,5.8,Low,No,5,8,Medium,Excellent
496,18,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Chemistry,1,96.9,9.2,3.6,Daily,No,Yes,7.8,4.8,Low,Yes,6,7,Medium,Excellent
497,23,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,90.9,9.3,2.9,Weekly,Yes,Yes,5.9,6.7,Medium,No,6,7,Medium,Excellent
498,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,4,92.5,10.0,4.4,Daily,Yes,Yes,6.0,8.7,Medium,No,9,10,High,Excellent
499,20,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Biology,1,57.2,7.8,4.3,Daily,No,No,6.5,9.8,Medium,No,4,3,Medium,Good
500,17,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BBA,NA,1,85.5,9.8,0.5,Weekly,No,No,7.0,1.8,Medium,No,5,9,Medium,Excellent
501,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BA,English,2,77.7,7.9,3.5,Weekly,No,No,7.5,3.3,High,No,7,1,Low,Good
502,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,IT,1,84.3,9.7,3.5,Weekly,Yes,Yes,5.6,4.0,High,No,6,6,Medium,Excellent
503,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,2,85.0,8.5,2.7,Daily,No,No,6.9,10.3,Medium,No,3,2,Medium,Excellent
504,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CSE,1,74.8,8.7,2.3,Daily,Yes,Yes,6.7,9.2,High,Yes,7,8,High,Excellent
505,18,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,MBA,NA,1,49.6,8.1,2.3,Weekly,No,No,8.0,7.0,High,No,5,6,High,Good
506,20,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BTech,CE,3,85.7,9.9,1.1,Weekly,Yes,Yes,7.3,7.9,Medium,No,5,7,High,Excellent
507,19,Male,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Physics,2,81.9,8.4,2.4,Daily,No,Yes,7.2,6.9,Medium,No,6,4,Medium,Good
508,22,Female,Dehradun,Uttarakhand,Graphic Era Deemed to be University,BSc,Mathematics,3,82.5,9.7,4.9,Daily,Yes,No,6.8,7.5,Medium,No,6,4,High,Excellent
